1706603282.480517 server started (18736): version next-3.4, socket /tmp/tmux-1000/default, protocol 8
1706603282.480570 on Linux 6.6.3-411.asahi.fc39.aarch64+16k #1 SMP PREEMPT_DYNAMIC Tue Dec 19 10:21:20 UTC 2023
1706603282.480575 using libevent 2.1.12-stable poll
1706603282.480576 using ncurses 6.4 20230520
1706603282.480603 input_key_build: 0x10e003 (PasteStart) is \033[200~
1706603282.480604 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1706603282.480606 input_key_build: 0x10e195 (F1) is \033OP
1706603282.480608 input_key_build: 0x10e196 (F2) is \033OQ
1706603282.480609 input_key_build: 0x10e197 (F3) is \033OR
1706603282.480610 input_key_build: 0x10e198 (F4) is \033OS
1706603282.480611 input_key_build: 0x10e199 (F5) is \033[15~
1706603282.480613 input_key_build: 0x10e19a (F6) is \033[17~
1706603282.480614 input_key_build: 0x10e19b (F7) is \033[18~
1706603282.480615 input_key_build: 0x10e19c (F8) is \033[19~
1706603282.480617 input_key_build: 0x10e19d (F9) is \033[20~
1706603282.480618 input_key_build: 0x10e19e (F10) is \033[21~
1706603282.480619 input_key_build: 0x10e19f (F11) is \033[23~
1706603282.480620 input_key_build: 0x10e1a0 (F12) is \033[24~
1706603282.480622 input_key_build: 0x10e1a1 (IC) is \033[2~
1706603282.480623 input_key_build: 0x10e1a2 (DC) is \033[3~
1706603282.480624 input_key_build: 0x10e1a3 (Home) is \033[1~
1706603282.480625 input_key_build: 0x10e1a4 (End) is \033[4~
1706603282.480627 input_key_build: 0x10e1a5 (NPage) is \033[6~
1706603282.480628 input_key_build: 0x10e1a6 (PPage) is \033[5~
1706603282.480629 input_key_build: 0x10e1a7 (BTab) is \033[Z
1706603282.480631 input_key_build: 0x10e1a8 (Up) is \033[A
1706603282.480632 input_key_build: 0x10e1a9 (Down) is \033[B
1706603282.480633 input_key_build: 0x10e1aa (Left) is \033[D
1706603282.480635 input_key_build: 0x10e1ab (Right) is \033[C
1706603282.480636 input_key_build: 0x10e1ac (KP/) is /
1706603282.480637 input_key_build: 0x10e1ad (KP*) is *
1706603282.480642 input_key_build: 0x10e1ae (KP-) is -
1706603282.480644 input_key_build: 0x10e1af (KP7) is 7
1706603282.480645 input_key_build: 0x10e1b0 (KP8) is 8
1706603282.480646 input_key_build: 0x10e1b1 (KP9) is 9
1706603282.480647 input_key_build: 0x10e1b2 (KP+) is +
1706603282.480649 input_key_build: 0x10e1b3 (KP4) is 4
1706603282.480650 input_key_build: 0x10e1b4 (KP5) is 5
1706603282.480651 input_key_build: 0x10e1b5 (KP6) is 6
1706603282.480653 input_key_build: 0x10e1b6 (KP1) is 1
1706603282.480654 input_key_build: 0x10e1b7 (KP2) is 2
1706603282.480655 input_key_build: 0x10e1b8 (KP3) is 3
1706603282.480657 input_key_build: 0x10e1b9 (KPEnter) is \n
1706603282.480658 input_key_build: 0x10e1ba (KP0) is 0
1706603282.480659 input_key_build: 0x10e1bb (KP.) is .
1706603282.480661 input_key_build: 0x200000000009 (C-Tab) is \t
1706603282.480662 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1706603282.480663 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1706603282.480665 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1706603282.480666 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1706603282.480667 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1706603282.480669 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1706603282.480670 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1706603282.480671 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1706603282.480672 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1706603282.480674 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1706603282.480675 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1706603282.480676 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1706603282.480678 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1706603282.480679 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1706603282.480680 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1706603282.480682 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1706603282.480683 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1706603282.480684 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1706603282.480686 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1706603282.480688 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1706603282.480690 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1706603282.480692 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1706603282.480693 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1706603282.480694 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1706603282.480696 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1706603282.480697 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1706603282.480698 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1706603282.480699 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1706603282.480701 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1706603282.480702 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1706603282.480703 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1706603282.480705 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1706603282.480706 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1706603282.480707 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1706603282.480709 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1706603282.480710 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1706603282.480711 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1706603282.480713 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1706603282.480714 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1706603282.480715 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1706603282.480717 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1706603282.480718 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1706603282.480719 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1706603282.480721 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1706603282.480722 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1706603282.480723 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1706603282.480725 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1706603282.480726 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1706603282.480727 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1706603282.480729 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1706603282.480730 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1706603282.480731 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1706603282.480733 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1706603282.480734 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1706603282.480735 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1706603282.480737 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1706603282.480738 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1706603282.480739 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1706603282.480741 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1706603282.480742 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1706603282.480744 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1706603282.480745 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1706603282.480746 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1706603282.480748 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1706603282.480749 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1706603282.480751 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1706603282.480752 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1706603282.480754 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1706603282.480755 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1706603282.480756 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1706603282.480758 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1706603282.480759 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1706603282.480760 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1706603282.480762 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1706603282.480763 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1706603282.480764 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1706603282.480766 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1706603282.480768 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1706603282.480769 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1706603282.480770 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1706603282.480772 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1706603282.480773 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1706603282.480774 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1706603282.480776 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1706603282.480777 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1706603282.480778 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1706603282.480780 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
